zomato, Food
swiggy, Food
food, Food-Joints
canteen, Food-Joints
Dairy, Food-Joints
Amul, Food-Joints
Tea, Food-Joints
cafe, Food-Joints
Starbucks, Food-Joints
Donuts, Food-Joints
Burger, Food-Joints
sweets, Food-Joints
IRCTC, Travel
Trip, Travel
Yatra, Travel
Uniqlo, E-commerce
Adidas, E-commerce
Nike, Apparel
Razorpay, Bill
Airtel, Bill
Jio, Bill
Voda, Bill
prepaid, Bill
Amazon, E-commerce
Flipkart, E-commerce
Netflix, E-commerce
Hotstar, E-commerce
Disney, E-commerce
Zee5, E-commerce
Sony, E-commerce
Voot, E-commerce
Stationery, E-commerce

