Date,Currency,Reward Amount,Rewards Description
2021-03-02T12:55:45.422845Z,INR,5.00,Google Pay Rewards
2022-05-03T22:14:10.568183Z,INR,4.00,Google Pay Rewards
2019-09-18T22:06:11.332669Z,INR,21.00,Google Pay Rewards
2019-11-24T15:17:59.954451Z,INR,12.00,Google Pay Rewards
2020-12-25T11:57:03.361530Z,INR,6.00,Google Pay Rewards
2019-10-10T05:14:14.129298Z,INR,12.00,Google Pay Rewards
2020-05-27T13:57:49.243261Z,INR,12.00,Google Pay Rewards
2021-01-22T06:49:37.112538Z,INR,7.00,Google Pay Rewards
2019-10-22T21:44:51.385156Z,INR,15.00,Google Pay Rewards
2021-12-14T18:01:42.572459Z,INR,3.00,Google Pay Rewards
2020-03-14T16:52:06.432069Z,INR,5.00,Google Pay Rewards
2019-11-30T16:22:07.387610Z,INR,12.00,Google Pay Rewards
2021-10-31T05:56:21.283095Z,INR,5.00,Google Pay Rewards
2020-06-17T06:27:28.062258Z,INR,45.00,Google Pay Rewards
2020-01-06T05:14:38.688788Z,INR,79.00,Google Pay Rewards
2020-07-08T14:40:19.956677Z,INR,101.00,Google Pay Rewards
2021-08-21T17:04:38.667063Z,INR,2.00,Google Pay Rewards
2019-11-17T14:41:32.526216Z,INR,11.00,Google Pay Rewards
2019-12-03T16:55:57.851827Z,INR,8.00,Google Pay Rewards
2020-07-08T08:42:22.938012Z,INR,13.00,Google Pay Rewards
2021-03-15T19:50:49.332578Z,INR,3.00,Google Pay Rewards
2021-08-10T17:27:03.055906Z,INR,5.00,Google Pay Rewards
2020-04-19T07:22:14.265350Z,INR,10.00,Google Pay Rewards
2022-10-19T07:32:51.348736Z,INR,3.00,Google Pay Rewards
2021-12-22T05:39:00.003394Z,INR,3.00,Google Pay Rewards
2019-10-24T20:09:25.514889Z,INR,11.00,Google Pay Rewards
2022-05-15T03:37:59.411248Z,INR,3.00,Google Pay Rewards
2020-12-25T11:56:37.436195Z,INR,17.00,Google Pay Rewards
2020-05-19T14:31:15.291264Z,INR,6.00,Google Pay Rewards
2020-01-12T16:17:48.930841Z,INR,81.00,Google Pay Rewards
